Judge;Sound;Rank;Innovation;Originality;Sobriety;Proximity;Fun;Premium;Simplicity;Freedom;Human;Technology;Conviviality;Complexity;Popular;Serious;International;Passion;Artisanal;Traditional;Performance;Joyful;Surprising;Exciting;Energetic;Sensual;Sad;Warm;Serious;Adequation;Why;Tempo;Pitch;Instrument
11;V_160_1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;ne;JAR;JAR;JAR;JAR;t;JAR;t;7;sound that asserts itself, synonymous with independence, precision;160;1;Violon
11;P_160_5;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;JAR;ne;ne;JAR;JAR;t;ne;JAR;8;classic and serious, technology and innovation;160;5;Piano
11;P_120_5;6;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;JAR;ne;ne;r_ne;JAR;t;ne;JAR;6;sound too slow, not innovative enough;120;5;Piano
11;P_120_3;7;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;JAR;JAR;ne;JAR;ne;JAR;ne;JAR;8;classic and precise;120;3;Piano
11;P_80_1;8;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;r_ne;ne;r_ne;r_ne;JAR;r_t;JAR;t;3;too slow, not exciting enough;80;1;Piano
11;A_80_3;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;ne;ne;ne;r_ne;ne;JAR;ne;ne;4;too traditional, bagpipes, too artisanal;80;3;Accordion
11;P_80_3;10;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ne;ne;JAR;ne;JAR;t;JAR;JAR;6;a little too slow, a little too classic;80;3;Piano
11;A_120_3;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;JAR;t;t;t;r_ne;JAR;r_ne;ne;3;circus music, not serious enough;120;3;Accordion
11;A_160_5;12;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;JAR;r_t;t;t;r_ne;ne;r_ne;JAR;6;far too aggressive;160;5;Accordion
12;A_120_5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;ne;ne;ne;t;r_ne;r_ne;ne;r_ne;2;too aggressive;120;5;Accordion
