ID_juge;Produit;Classe_hedo;decription_corrig;Note;JP;JxCH
51;G;je n'aime pas;parait fragile;2;51_G;51_je n'aime pas
51;H;je n'aime pas;n' pas agreable touche;1;51_H;51_je n'aime pas
51;I;j'aime un peu;c' matiere j' apprecie mais dirait elastique;8;51_I;51_j'aime un peu
51;J;j'aime beaucoup;trouve matiere correspond completement a voiture voiture tres agreable;10;51_J;51_j'aime beaucoup
52;A;je n'aime pas;trop rapeux;4;52_A;52_je n'aime pas
52;B;je n'aime pas;trop epais;4;52_B;52_je n'aime pas
52;C;je n'aime pas;assez fin;5;52_C;52_je n'aime pas
52;D;je n'aime pas;trop laineux;3;52_D;52_je n'aime pas
52;E;j'aime beaucoup;style alcantara j' adore;8;52_E;52_j'aime beaucoup
52;F;j'aime un peu;agreable toucher;5;52_F;52_j'aime un peu
52;G;je n'aime pas;trop mou;3;52_G;52_je n'aime pas
52;H;je n'aime pas;texture collante;3;52_H;52_je n'aime pas
52;I;je n'aime pas;bien;5;52_I;52_je n'aime pas
52;J;j'aime un peu;style cuir j' aime bien;6;52_J;52_j'aime un peu
53;A;j'aime un peu;qualite correct;5;53_A;53_j'aime un peu
53;B;je n'aime pas;trop grossier;3;53_B;53_je n'aime pas
53;C;j'aime un peu;convient;6;53_C;53_j'aime un peu
53;D;je n'aime pas;contact deplaisant;1;53_D;53_je n'aime pas
53;E;je n'aime pas;ne plait pas;5;53_E;53_je n'aime pas
53;F;j'aime beaucoup;j' aime bien;9;53_F;53_j'aime beaucoup
53;G;j'aime un peu;doux agreable;7;53_G;53_j'aime un peu
53;H;je n'aime pas;touche trop plastique;2;53_H;53_je n'aime pas
53;I;je n'aime pas;trop rigide a gout;2;53_I;53_je n'aime pas
53;J;j'aime beaucoup;imitation cuir interessante bonne qualite;9;53_J;53_j'aime beaucoup
54;A;je n'aime pas;trop reche;3;54_A;54_je n'aime pas
54;B;j'aime un peu;epaisseur peut etre pas mal;5;54_B;54_j'aime un peu
54;C;j'aime un peu;cote uni sobre;6;54_C;54_j'aime un peu
54;D;j'aime beaucoup;douceur douceur;6;54_D;54_j'aime beaucoup
54;E;j'aime beaucoup;confort;6;54_E;54_j'aime beaucoup
54;F;j'aime beaucoup;sombre peut etre solide;6;54_F;54_j'aime beaucoup
54;G;j'aime beaucoup;celui j' aime mieux doit facilement detacher;8;54_G;54_j'aime beaucoup
54;H;je n'aime pas;doit prendre toute poussiere;3;54_H;54_je n'aime pas
54;I;j'aime un peu;sympa;6;54_I;54_j'aime un peu
54;J;je n'aime pas;peut etre trompe doit etre solide;6;54_J;54_je n'aime pas
55;A;je n'aime pas;trame tissus contact peu agreable;3;55_A;55_je n'aime pas
55;B;je n'aime pas;trop dur toucher;2;55_B;55_je n'aime pas
55;C;je n'aime pas;sensation toucher pas douce;4;55_C;55_je n'aime pas
55;D;j'aime un peu;toucher sensation moquette;5;55_D;55_j'aime un peu
55;E;j'aime beaucoup;trame tissu plus douce;8;55_E;55_j'aime beaucoup
55;F;j'aime un peu;trop lisse;5;55_F;55_j'aime un peu
55;G;j'aime beaucoup;toucher moelleux enveloppant;9;55_G;55_j'aime beaucoup
55;H;je n'aime pas;toucher impression moquette;5;55_H;55_je n'aime pas
55;I;j'aime un peu;sensation tissus ameublement;5;55_I;55_j'aime un peu
55;J;je n'aime pas;refractaire plastique;3;55_J;55_je n'aime pas
56;A;j'aime beaucoup;semble solide facile entretien;10;56_A;56_j'aime beaucoup
56;B;j'aime beaucoup;agreable toucher parait confortable epais facile d' entretien;10;56_B;56_j'aime beaucoup
56;C;j'aime un peu;parait solide sec toucher;10;56_C;56_j'aime un peu
56;D;je n'aime pas;accroche trop;0;56_D;56_je n'aime pas
56;E;j'aime beaucoup;hyper agreable toucher ideal calins embouteillages;10;56_E;56_j'aime beaucoup
56;F;j'aime un peu;sec toucher mais parait fragile;7;56_F;56_j'aime un peu
56;G;je n'aime pas;trop mou;8;56_G;56_je n'aime pas
56;H;je n'aime pas;sensation poisseuse;0;56_H;56_je n'aime pas
